Violation_ID,Violation_Date,Violation_Time,City,Area,Vehicle_Type,Violation_Type,Fine_Amount,Payment_Status,Payment_Date,Camera_Type,Repeat_Offender,Challan_Source,Weather_Condition
CHL2024_000001,2024-07-02,20:06,Surat,Varachha,Bike,No Helmet,798,Paid,2024-07-12,Speed Camera,No,Automated Camera,Foggy
CHL2024_000002,2024-04-29,08:26,Delhi,Lajpat Nagar,Bike,Wrong Parking,968,Paid,2024-05-13,Speed Camera,No,Automated Camera,Rainy
CHL2024_000003,2024-06-27,19:37,Surat,Varachha,Bike,No Helmet,666,Paid,2024-06-28,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000004,2024-08-27,19:06,Pune,Baner,Bike,Driving on Wrong Side,1288,Paid,2024-09-11,CCTV Camera,No,On-ground Police,Clear
CHL2024_000005,2024-12-19,08:10,Bengaluru,BTM,Bike,No Seatbelt,781,Paid,2024-12-21,Speed Camera,No,On-ground Police,Clear
CHL2024_000006,2024-05-13,13:19,Delhi,Lajpat Nagar,Car,Wrong Parking,987,Paid,2024-05-25,Speed Camera,No,On-ground Police,Rainy
CHL2024_000007,2024-07-28,21:45,Delhi,Pitampura,Bike,Wrong Parking,1107,Unpaid,,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000008,2024-11-21,10:36,Delhi,Pitampura,Car,Over Speeding,1705,Paid,2024-12-03,Traffic Police Handheld,Yes,Automated Camera,Rainy
CHL2024_000009,2024-10-03,22:26,Surat,Nanpura,Bike,Signal Jumping,1530,Paid,2024-10-06,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000010,2024-02-07,21:55,Hyderabad,LB Nagar,Car,No Helmet,871,Paid,2024-02-12,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000011,2024-09-17,08:59,Hyderabad,Kukatpally,Bike,No Seatbelt,551,Paid,2024-09-23,Speed Camera,No,On-ground Police,Clear
CHL2024_000012,2024-10-17,08:18,Surat,Vesu,Truck,No Helmet,853,Paid,2024-10-18,Speed Camera,Yes,Automated Camera,Clear
CHL2024_000013,2024-06-06,23:38,Chennai,Guindy,Bike,Over Speeding,2883,Paid,2024-06-14,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000014,2024-04-02,08:04,Surat,Katargam,Bike,Wrong Parking,1230,Paid,2024-04-17,Speed Camera,No,Automated Camera,Clear
CHL2024_000015,2024-11-06,21:07,Pune,Hadapsar,Truck,No Seatbelt,797,Paid,2024-11-10,Traffic Police Handheld,No,Automated Camera,Rainy
CHL2024_000016,2024-10-11,10:27,Hyderabad,Madhapur,Bus,Signal Jumping,1038,Paid,2024-10-22,CCTV Camera,Yes,On-ground Police,Rainy
CHL2024_000017,2024-10-07,21:21,Chennai,Velachery,Bike,Wrong Parking,602,Paid,2024-10-12,CCTV Camera,Yes,Automated Camera,Foggy
CHL2024_000018,2024-02-26,21:54,Delhi,Janakpuri,Bike,Wrong Parking,1347,Unpaid,,Speed Camera,No,Automated Camera,Rainy
CHL2024_000019,2024-12-10,20:59,Bengaluru,Electronic City,Bus,Wrong Parking,976,Unpaid,,Speed Camera,No,On-ground Police,Clear
CHL2024_000020,2024-07-13,18:10,Chennai,Adyar,Car,Signal Jumping,1304,Paid,2024-07-20,Speed Camera,No,Automated Camera,Rainy
CHL2024_000021,2024-06-26,08:42,Ahmedabad,Bopal,Auto,No Seatbelt,940,Paid,2024-07-07,CCTV Camera,No,Automated Camera,Foggy
CHL2024_000022,2024-02-10,20:20,Mumbai,Malad,Car,Driving on Wrong Side,1177,Paid,2024-02-13,CCTV Camera,No,On-ground Police,Rainy
CHL2024_000023,2024-02-26,22:48,Ahmedabad,Vastrapur,Car,Over Speeding,1890,Paid,2024-03-03,Speed Camera,Yes,Automated Camera,Clear
CHL2024_000024,2024-07-05,21:22,Pune,Shivajinagar,Auto,No Helmet,884,Paid,2024-07-09,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000025,2024-04-20,19:57,Indore,Rajwada,Bike,No Helmet,754,Paid,2024-04-23,Speed Camera,No,Automated Camera,Foggy
CHL2024_000026,2024-05-04,22:35,Indore,Sudama Nagar,Bike,Driving on Wrong Side,1666,Paid,2024-05-13,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000027,2024-07-04,16:24,Surat,Vesu,Bike,No Helmet,899,Paid,2024-07-13,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000028,2024-01-07,18:47,Bengaluru,Electronic City,Bike,No Helmet,847,Unpaid,,Speed Camera,Yes,On-ground Police,Foggy
CHL2024_000029,2024-08-25,04:08,Chennai,Anna Nagar,Car,Over Speeding,2464,Paid,2024-08-29,CCTV Camera,No,Automated Camera,Clear
CHL2024_000030,2024-09-05,09:10,Bengaluru,Yelahanka,Bike,Over Speeding,2312,Unpaid,,Traffic Police Handheld,No,On-ground Police,Foggy
CHL2024_000031,2024-07-13,06:58,Surat,Piplod,Auto,No Helmet,816,Paid,2024-07-23,Traffic Police Handheld,No,On-ground Police,Foggy
CHL2024_000032,2024-03-08,10:49,Indore,Rau,Truck,Wrong Parking,1143,Paid,2024-03-18,Traffic Police Handheld,No,On-ground Police,Foggy
CHL2024_000033,2024-05-12,09:53,Chennai,Tambaram,Bike,Signal Jumping,1129,Paid,2024-05-26,Traffic Police Handheld,No,On-ground Police,Foggy
CHL2024_000034,2024-11-01,21:28,Delhi,Vasant Kunj,Bike,Signal Jumping,1866,Paid,2024-11-11,Traffic Police Handheld,No,On-ground Police,Foggy
CHL2024_000035,2024-10-20,17:18,Surat,Katargam,Auto,No Helmet,794,Unpaid,,Speed Camera,Yes,On-ground Police,Foggy
CHL2024_000036,2024-03-09,07:44,Indore,Bhawarkua,Car,No Seatbelt,725,Paid,2024-03-10,CCTV Camera,No,On-ground Police,Foggy
CHL2024_000037,2024-08-09,21:45,Ahmedabad,Satellite,Bus,Driving on Wrong Side,1837,Paid,2024-08-14,Traffic Police Handheld,No,On-ground Police,Foggy
CHL2024_000038,2024-07-12,18:00,Hyderabad,Secunderabad,Bus,Over Speeding,2899,Paid,2024-07-14,CCTV Camera,No,On-ground Police,Foggy
CHL2024_000039,2024-11-01,11:13,Mumbai,Andheri,Bike,Over Speeding,1734,Unpaid,,CCTV Camera,No,Automated Camera,Rainy
CHL2024_000040,2024-01-12,02:52,Bengaluru,BTM,Bike,Driving on Wrong Side,1451,Paid,2024-01-24,Traffic Police Handheld,No,Automated Camera,Foggy
CHL2024_000041,2024-10-11,08:48,Ahmedabad,Vastrapur,Car,Driving on Wrong Side,1623,Unpaid,,Speed Camera,Yes,On-ground Police,Rainy
CHL2024_000042,2024-11-30,18:07,Delhi,Karol Bagh,Bike,No Seatbelt,580,Unpaid,,Speed Camera,Yes,On-ground Police,Foggy
CHL2024_000043,2024-04-02,01:46,Delhi,Dwarka,Bike,No Seatbelt,543,Paid,2024-04-07,Speed Camera,Yes,Automated Camera,Clear
CHL2024_000044,2024-02-14,08:30,Surat,Katargam,Bike,No Helmet,535,Paid,2024-02-20,Traffic Police Handheld,No,On-ground Police,Rainy
CHL2024_000045,2024-07-27,20:15,Mumbai,Goregaon,Bike,Over Speeding,2706,Paid,2024-08-08,Traffic Police Handheld,No,On-ground Police,Foggy
